Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
30844.05102,8.562847924,-1071,1.89E-04,845,0.333333333,0.045754138,SNCA*KDG*,query,3.244857332,0.435023237,1154556
27946.46641,8.570068382,-980,1.92E-04,914,0.5,0.054258588,PARK2*KDG*,query,3.275049768,0.653175346,886044
19413.30922,7.781662319,-1012,1.91E-04,836,0.5,0.054945182,NTRK2,result,3.264432648,0.031935691,662480
8312.796612,9.642223181,-1390,1.78E-04,441,0.333333333,0.025890871,DRD2*KDG*,query,3.138022561,0.769444631,294218
3067.010637,8.546440936,-1518,1.74E-04,311,0.333333333,0.019726417,NTF3,result,3.095554081,0.034064296,99698
3440.479664,7.310590912,-1471,1.76E-04,362,0.333333333,0.024186655,AGO2,result,3.112143331,0.012353526,118110
3058.831968,8.786299959,-1530,1.74E-04,295,0.333333333,0.018309444,GPR37,result,3.092568016,0.140401608,93266
909.1686061,6.543722201,-1684,1.69E-04,180,0.333333333,0.009314156,TCP1,result,3.041473125,0.056752229,28842
1496.354302,9.401716516,-1626,1.71E-04,199,0.333333333,0.012245296,ADORA2A,result,3.058725946,0.010975352,62810
10811.90221,9.548637434,-1328,1.80E-04,516,0.333333333,0.029812932,MAOB*KDG*,query,3.159588587,0.843173628,319042
5512.685546,8.41810959,-1415,1.77E-04,423,0.333333333,0.026111653,CLU,result,3.130723291,0.009270798,174198
3612.783852,7.392000348,-1444,1.77E-04,384,0.5,0.026429272,NEFM,result,3.121101526,0.008243973,131882
6018.583201,7.781233632,-1358,1.79E-04,471,0.333333333,0.031179908,SCARB2,result,3.149635036,0.007797561,205738
2372.011719,8.811742652,-1573,1.73E-04,257,0.333333333,0.015295926,CCNG1,result,3.078301261,0.011864754,73232
258.9267876,8.753519753,-1785,1.67E-04,84,0.333333333,0.004918433,SUMO4,result,3.00796284,0.005644342,8124
1822.032479,7.364880685,-1566,1.73E-04,265,0.333333333,0.017508901,CDC5L,result,3.080623756,0.061832774,63898
8610.563158,8.230414939,-1304,1.81E-04,533,0.333333333,0.034170251,SRPK1,result,3.167551427,0.005630557,267894
3189.631911,9.954304352,-1553,1.73E-04,265,0.333333333,0.013818093,MYO1F,result,3.084936961,0.004823648,99326
8391.130515,10.04737642,-1399,1.78E-04,446,0.333333333,0.023125838,APOE*KDG*,query,3.136031851,0.704416793,226846
1016.334479,9.341620961,-1674,1.69E-04,161,0.333333333,0.008333119,PLTP,result,3.03915063,0.007076845,25880
5296.499055,8.8764885,-1433,1.77E-04,398,0.333333333,0.024655166,AXIN1,result,3.124751161,0.003069566,157614
1230.819245,9.373313082,-1671,1.70E-04,171,0.333333333,0.008738361,TRAP1,result,3.04578633,0.05069798,31960
4113.824954,9.268982419,-1494,1.75E-04,327,0.333333333,0.017519278,PSAP,result,3.104512276,0.002744222,119378
720.795184,9.479441666,-1683,1.69E-04,143,0.333333333,0.009506302,GBA*KDG*,query,3.04180491,0.832736311,22722
654.1163913,8.442553617,-1713,1.69E-04,137,0.333333333,0.006936411,LAMP1,result,3.03185136,0.003333286,17704
7215.581638,8.057753249,-1334,1.80E-04,497,0.333333333,0.033032711,GLI3,result,3.157597877,0.002657593,233080
1207.749686,8.76490964,-1628,1.71E-04,192,0.333333333,0.012692914,MID2,result,3.060053086,0.070637812,47014
3511.729841,7.944167011,-1461,1.76E-04,359,0.5,0.024316018,NGF,result,3.115461181,0.002512811,123378
9931.003901,8.07148064,-1256,1.83E-04,583,0.333333333,0.037679556,IQSEC1,result,3.183145322,0.002441203,319038
612.5305566,8.298773411,-1683,1.69E-04,142,0.333333333,0.008932357,SORT1,result,3.04180491,0.019498994,19412
2320.123231,9.358683229,-1566,1.73E-04,254,0.333333333,0.015736627,LRPAP1,result,3.080623756,0.002401537,72110
2318.440209,8.069770944,-1584,1.72E-04,255,0.333333333,0.012443794,PARK7,result,3.074651626,0.043420443,62064
2336.51538,10.43422895,-1587,1.72E-04,230,0.333333333,0.012871677,CDK5,result,3.073656271,0.00506742,79984
325.1510939,8.98311464,-1719,1.68E-04,102,0.333333333,0.007150856,PACRG,result,3.02986065,0.002345985,13426
5692.561617,6.065572217,-1376,1.79E-04,512,0.333333333,0.027783946,CYP2C8,result,3.143331121,0.003253824,189220
2282.276771,8.108002465,-1552,1.73E-04,275,0.333333333,0.017276981,LAMP2,result,3.085268746,0.002157156,78846
643.6246804,7.566576485,-1684,1.69E-04,152,0.333333333,0.009891959,ARPP19,result,3.041473125,0.002547225,21166
2097.500578,8.107068298,-1553,1.73E-04,265,0.333333333,0.017887383,KIF11,result,3.084936961,0.002148557,69180
1383.315486,8.321390529,-1617,1.71E-04,212,0.333333333,0.013773868,ST13,result,3.063702721,0.002127115,45424
1113.261008,8.115208227,-1639,1.71E-04,189,0.333333333,0.012019829,TOMM20,result,3.056403451,0.003537005,36446
1763.195379,9.010229367,-1588,1.72E-04,232,0.333333333,0.015276755,MYO1D,result,3.073324486,0.002109832,56324
1625.437193,7.534699576,-1582,1.72E-04,248,0.333333333,0.015386518,CYP2C18,result,3.075315196,0.002135789,62000
4705.719015,9.119861842,-1480,1.75E-04,348,0.333333333,0.017876736,GRN,result,3.108825481,0.002094476,129688
2498.780834,10.4317859,-1585,1.72E-04,234,0.333333333,0.011877458,CHPF,result,3.074319841,0.002281356,60672
1962.307358,11.37762507,-1625,1.71E-04,196,0.333333333,0.011357419,TRIP13,result,3.061048441,0.001995996,52224
815.8036619,8.453301419,-1660,1.70E-04,165,0.333333333,0.010286876,TPPP,result,3.04777704,0.002208701,26284
546.1760133,7.539132853,-1685,1.69E-04,145,0.333333333,0.010162458,RAD1,result,3.04114134,0.001994495,19782
2468.043942,9.293849915,-1578,1.73E-04,251,0.333333333,0.0147169,CSNK1D,result,3.076642336,0.001959327,80910
