gene name,Degree unDir,EigenVector unDir
SNCA*KDG*,845,0.04575413827156438
PARK2*KDG*,914,0.05425858824316295
NTRK2,836,0.05494518202842115
DRD2*KDG*,441,0.025890871273120813
NTF3,311,0.019726417256307565
AGO2,362,0.024186655270931706
GPR37,295,0.018309444461428473
TCP1,180,0.009314156446511025
ADORA2A,199,0.012245296092028766
MAOB*KDG*,516,0.029812932482850944
CLU,423,0.026111653271015084
NEFM,384,0.026429272400743012
SCARB2,471,0.031179908489764985
CCNG1,257,0.01529592587080557
SUMO4,84,0.004918433394536819
CDC5L,265,0.01750890069644525
SRPK1,533,0.03417025076182795
MYO1F,265,0.013818092564810987
APOE*KDG*,446,0.023125837804753382
PLTP,161,0.008333118677508865
AXIN1,398,0.02465516592792653
TRAP1,171,0.008738361019716534
PSAP,327,0.017519278417903374
GBA*KDG*,143,0.009506302218686664
LAMP1,137,0.006936410603343539
GLI3,497,0.033032710743223344
MID2,192,0.01269291368352135
NGF,359,0.02431601765460158
IQSEC1,583,0.037679556490549077
SORT1,142,0.00893235680787851
LRPAP1,254,0.015736626814363542
PARK7,255,0.012443793691871222
CDK5,230,0.012871677268130327
PACRG,102,0.007150856037991352
CYP2C8,512,0.027783946358314226
LAMP2,275,0.01727698061145457
ARPP19,152,0.009891959156030816
KIF11,265,0.017887383253442482
ST13,212,0.01377386787821107
TOMM20,189,0.012019829281052725
MYO1D,232,0.015276755253463947
CYP2C18,248,0.015386517713054085
GRN,348,0.017876735848114646
CHPF,234,0.011877457547414497
TRIP13,196,0.011357419292778741
TPPP,165,0.010286875545147478
RAD1,145,0.010162457507646033
CSNK1D,251,0.01471689985938567
AATF,340,0.020109556433494102
STXBP1,395,0.02408350024195396
MAPKAP1,494,0.031587339919639044
LRP8,225,0.015581951126819786
MDN1,246,0.016282946321644915
BAG5,103,0.0056952420310921355
MYL9,235,0.012792162108122321
FLNA,304,0.015661746398343796
LCAT,203,0.011264001661641753
HSPA4,270,0.017116895675872514
KCNJ3,480,0.029615725142531628
CAMK2A,495,0.03185144195833169
NTRK1,215,0.012692114534709977
S100B,268,0.01625970799312922
KLK6,328,0.01867491628501844
DNAJA1,458,0.029804678983551366
LITAF,201,0.012071800386302706
UBE2L3,228,0.014814316691887396
COMT*KDG*,365,0.01830283387084613
FBXO7,239,0.014142231624380013
AGPAT1,192,0.008811805264345725
PINK1*KDG*,750,0.041293003120682494
ACSL1,323,0.020065023832788017
LBP,252,0.0143958296026473
SLC6A3,110,0.006225438303190817
PPP1CA,295,0.014498264079759505
NCOR2,598,0.036804812177099896
HTT,562,0.0340812002051942
FBP1,339,0.01971038495697294
FKBP4,202,0.012341739573413456
CYB5R1,209,0.012902348349882409
MYL12B,148,0.008091648074873791
LIMS1,244,0.01696994118476303
APOC1,339,0.01791854669005236
MAP2K6,282,0.019060940578031805
MAPK12,98,0.005700062984330263
HSD17B4,375,0.021551449868030842
CYB5A,357,0.02250420000524018
HSP90AB1,285,0.015517855406470162
HP,384,0.021979906017980846
AADAC,415,0.02452928873353021
TMCC2,195,0.012338556718833717
HTRA2,193,0.009612171688411105
ITGB7,213,0.011106063259424374
CAPN2,290,0.01796076103007477
SLC6A2,194,0.013395000158058099
KCNJ6,416,0.02758250037241918
HTRA1,247,0.01536857093439394
DAPK1,718,0.04462918425385529
TTPA,500,0.027780685690189124
CFHR3,270,0.01567970555452
CYP2D6*KDG*,314,0.018909361721048616
BST1*KDG*,785,0.04085388245272244
BDNF*KDG*,380,0.020032282185367862
HSPB6,186,0.012534832791699249
ACE,285,0.017471133062357775
UBE2G1,204,0.012639765683042464
SCARB1,474,0.03093894643440895
EPB41L1,260,0.018440021849071946
DMTN,387,0.020941877392948418
FAH,437,0.026229010894885923
ZAP70,312,0.01827226767331906
MAPK11,181,0.0117767003351476
HMGCS1,267,0.01564189973131428
