gene name,Closeness unDir,Eccentricity unDir,Radiality unDir
SNCA*KDG*,0.000189036,0.333333333,3.244857332
PARK2*KDG*,0.000192345,0.5,3.275049768
NTRK2,0.000191168,0.5,3.264432648
DRD2*KDG*,0.00017819,0.333333333,3.138022561
NTF3,0.000174216,0.333333333,3.095554081
AGO2,0.000175747,0.333333333,3.112143331
GPR37,0.000173943,0.333333333,3.092568016
TCP1,0.000169405,0.333333333,3.041473125
ADORA2A,0.000170911,0.333333333,3.058725946
MAOB*KDG*,0.000180278,0.333333333,3.159588587
CLU,0.000177494,0.333333333,3.130723291
NEFM,0.000176585,0.5,3.121101526
SCARB2,0.000179308,0.333333333,3.149635036
CCNG1,0.000172652,0.333333333,3.078301261
SUMO4,0.000166556,0.333333333,3.00796284
CDC5L,0.000172861,0.333333333,3.080623756
SRPK1,0.000181061,0.333333333,3.167551427
MYO1F,0.00017325,0.333333333,3.084936961
APOE*KDG*,0.000177999,0.333333333,3.136031851
PLTP,0.000169205,0.333333333,3.03915063
AXIN1,0.000176929,0.333333333,3.124751161
TRAP1,0.000169779,0.333333333,3.04578633
PSAP,0.000175039,0.333333333,3.104512276
GBA*KDG*,0.000169434,0.333333333,3.04180491
LAMP1,0.000168577,0.333333333,3.03185136
GLI3,0.000180083,0.333333333,3.157597877
MID2,0.000171028,0.333333333,3.060053086
NGF,0.000176056,0.5,3.115461181
IQSEC1,0.000182615,0.333333333,3.183145322
SORT1,0.000169434,0.333333333,3.04180491
LRPAP1,0.000172861,0.333333333,3.080623756
PARK7,0.000172325,0.333333333,3.074651626
CDK5,0.000172236,0.333333333,3.073656271
PACRG,0.000168407,0.333333333,3.02986065
CYP2C8,0.000178699,0.333333333,3.143331121
LAMP2,0.00017328,0.333333333,3.085268746
ARPP19,0.000169405,0.333333333,3.041473125
KIF11,0.00017325,0.333333333,3.084936961
ST13,0.00017135,0.333333333,3.063702721
TOMM20,0.000170707,0.333333333,3.056403451
MYO1D,0.000172206,0.333333333,3.073324486
CYP2C18,0.000172384,0.333333333,3.075315196
GRN,0.000175439,0.333333333,3.108825481
CHPF,0.000172295,0.333333333,3.074319841
TRIP13,0.000171116,0.333333333,3.061048441
TPPP,0.000169952,0.333333333,3.04777704
RAD1,0.000169377,0.333333333,3.04114134
CSNK1D,0.000172503,0.333333333,3.076642336
AATF,0.000175285,0.333333333,3.107166556
STXBP1,0.000175994,0.5,3.114797611
MAPKAP1,0.000179921,0.333333333,3.155938952
LRP8,0.000171969,0.333333333,3.070670206
MDN1,0.000172503,0.333333333,3.076642336
BAG5,0.000167588,0.333333333,3.020238885
MYL9,0.000171939,0.333333333,3.070338421
FLNA,0.000173822,0.333333333,3.091240876
LCAT,0.000171116,0.333333333,3.061048441
HSPA4,0.00017331,0.333333333,3.085600531
KCNJ3,0.000179179,0.333333333,3.148307896
CAMK2A,0.000179404,0.333333333,3.150630392
NTRK1,0.000171733,0.333333333,3.068015926
S100B,0.00017304,0.333333333,3.082614466
KLK6,0.000174886,0.333333333,3.102853351
DNAJA1,0.000178891,0.333333333,3.145321831
LITAF,0.00017135,0.333333333,3.063702721
UBE2L3,0.000172117,0.333333333,3.072329131
COMT*KDG*,0.000176149,0.333333333,3.116456536
FBXO7,0.000172176,0.333333333,3.072992701
AGPAT1,0.000170736,0.333333333,3.056735236
PINK1*KDG*,0.000187441,0.5,3.229927007
ACSL1,0.000174795,0.333333333,3.101857996
LBP,0.000172592,0.333333333,3.077637691
SLC6A3,0.000168435,0.333333333,3.030192435
PPP1CA,0.000173702,0.333333333,3.089913736
NCOR2,0.00018315,0.333333333,3.188453882
