gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
BRCA1*KDG*,0.000292912,772,0.5,3.304865938
BRCA2*KDG*,0.00028169,610,0.333333333,3.23733863
PIK3CA*KDG*,0.000292569,717,0.333333333,3.302879841
NCOA3*KDG*,0.000286205,634,0.333333333,3.265143992
TP53*KDG*,0.000294204,845,0.5,3.312313803
RAD51*KDG*,0.000272702,454,0.333333333,3.179245283
NBN,0.00026178,244,0.333333333,3.103277061
RB1CC1*KDG*,0.000285225,583,0.333333333,3.2591857
H2AFX,0.000275482,467,0.333333333,3.197616683
CHEK2*KDG*,0.000283768,588,0.5,3.250248262
KDM1A,0.000286451,590,0.333333333,3.266633565
PIK3R3,0.00026688,322,0.333333333,3.139523337
EWSR1,0.000270563,375,0.333333333,3.164846077
MDC1,0.000271592,394,0.5,3.171797418
RBBP8,0.000281611,548,0.333333333,3.236842105
MDM2,0.000278474,521,0.333333333,3.216981132
RAD50,0.00025974,205,0.333333333,3.088381331
HSPA9,0.000269179,339,0.333333333,3.155412115
NFKBIA,0.000265393,320,0.333333333,3.129096326
CEBPB,0.000264901,307,0.333333333,3.125620655
PCNA,0.000293169,850,0.333333333,3.306355511
PPM1D*KDG*,0.000274801,404,0.333333333,3.193147964
TOPBP1,0.000285225,645,0.333333333,3.2591857
UNG,0.000280269,500,0.333333333,3.228401192
RAD51B,0.000273075,395,0.5,3.181727905
FAS,0.000276091,499,0.333333333,3.201588878
CHEK1,0.000300661,1001,0.5,3.348560079
MRE11A,0.000273898,490,0.333333333,3.187189672
CENPC,0.000275482,442,0.333333333,3.197616683
POU2F1,0.000269324,352,0.333333333,3.156405164
FANCG,0.000274876,459,0.333333333,3.193644489
CDK2,0.000289519,772,0.333333333,3.285004965
DMC1,0.000259605,194,0.333333333,3.087388282
UBE2L3,0.000259943,194,0.333333333,3.089870904
ATR,0.000276549,485,0.333333333,3.204568024
SHFM1,0.000266099,294,0.333333333,3.134061569
AP1B1,0.000271665,368,0.333333333,3.172293942
VCP,0.000273523,410,0.333333333,3.184707051
XBP1,0.000258933,184,0.333333333,3.082423039
FOXM1,0.00028082,541,0.5,3.231876862
TMF1,0.000267523,307,0.333333333,3.143992056
DSCAM,0.000261438,212,0.333333333,3.100794439
XRCC2,0.000265675,294,0.333333333,3.131082423
RAD9A,0.000260688,216,0.333333333,3.095332671
BLM,0.000279877,568,0.333333333,3.22591857
RECQL4,0.000265111,264,0.333333333,3.127110228
RNF14,0.000257798,164,0.333333333,3.073982125
HSPA1L,0.000254001,109,0.333333333,3.045183714
LIG4,0.000268097,330,0.333333333,3.14796425
CDC25C,0.000265957,321,0.5,3.13306852
ESPL1,0.000268312,310,0.333333333,3.149453823
TOP2A,0.000282805,608,0.333333333,3.24428997
PSMC3IP,0.000263783,266,0.333333333,3.117676266
FANCL,0.000267523,319,0.333333333,3.143992056
DNAJA1,0.000273149,398,0.333333333,3.182224429
CDC37,0.000267023,303,0.333333333,3.140516385
BCAP31,0.000260078,196,0.333333333,3.090863952
TGFB1I1,0.000254647,124,0.333333333,3.050148957
PDGFRB,0.00026469,306,0.333333333,3.124131082
PKLR,0.000252653,82,0.333333333,3.034756703
SLC9A3R2,0.000256148,142,0.333333333,3.061569017
FANCA,0.000269978,368,0.333333333,3.160873883
TNFAIP3,0.000269833,376,0.333333333,3.159880834
RAD51AP1,0.000272183,413,0.333333333,3.175769613
PTEN*KDG*,0.000277469,483,0.333333333,3.210526316
MAGI2,0.00029036,619,0.333333333,3.289970209
SMARCD3,0.000255037,120,0.333333333,3.053128103
FANCC,0.000275862,451,0.333333333,3.200099305
SOD1,0.000266312,295,0.333333333,3.135551142
EZH2,0.00029036,753,0.5,3.289970209
FANCI,0.000274123,407,0.5,3.188679245
PRKDC,0.000274348,452,0.5,3.190168818
CSF2RB,0.000262743,268,0.333333333,3.110228401
USP7,0.000265322,282,0.333333333,3.128599801
IKBKAP,0.000266312,297,0.333333333,3.135551142
ADIPOR2,0.00026001,193,0.333333333,3.090367428
SVIL,0.000271076,357,0.333333333,3.168321748
BAG1,0.000261028,211,0.333333333,3.097815293
ROCK1,0.000268384,327,0.333333333,3.149950348
PA2G4,0.000267523,324,0.333333333,3.143992056
UBE2I,0.000270563,394,0.5,3.164846077
FKBP4,0.000262674,240,0.333333333,3.109731877
PLAGL1,0.00026062,200,0.333333333,3.094836147
XRCC5,0.000282965,594,0.333333333,3.245283019
WRN,0.000271444,407,0.333333333,3.170804369
CREBBP,0.000276396,531,0.333333333,3.203574975
NCOA4,0.000265041,271,0.333333333,3.126613704
RAD51C,0.000271961,393,0.5,3.17428004
PRDX1,0.000258264,171,0.333333333,3.077457795
