gene name,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Radiality unDir,Stress unDir
BRCA1*KDG*,9129.97,4.615463326,-105,2.93E-04,772,0.5,0.047804147,3.304865938,432238
BRCA2*KDG*,4177.54,3.817666343,-241,2.82E-04,610,0.333333333,0.038756196,3.23733863,182306
PIK3CA*KDG*,10274.36532,5.328953208,-109,2.93E-04,717,0.333333333,0.036469677,3.302879841,334842
NCOA3*KDG*,7177.798504,4.948522296,-185,2.86E-04,634,0.333333333,0.033272921,3.265143992,250194
TP53*KDG*,12092.82925,4.651626068,-90,2.94E-04,845,0.5,0.042107878,3.312313803,394316
RAD51*KDG*,6326.488491,5.79096962,-358,2.73E-04,454,0.333333333,0.029836245,3.179245283,251604
NBN,678.4018848,3.872700373,-511,2.62E-04,244,0.333333333,0.015759883,3.103277061,34494
RB1CC1*KDG*,5705.933954,4.705601141,-197,2.85E-04,583,0.333333333,0.034372874,3.2591857,226562
H2AFX,2712.333341,4.16809536,-321,2.75E-04,467,0.333333333,0.03310424,3.197616683,126052
CHEK2*KDG*,5128.116131,4.786743981,-215,2.84E-04,588,0.5,0.039006784,3.250248262,218954
KDM1A,6153.41236,5.410168599,-182,2.86E-04,590,0.333333333,0.039078741,3.266633565,246620
PIK3R3,2231.431973,5.777291995,-438,2.67E-04,322,0.333333333,0.017588815,3.139523337,78392
EWSR1,1903.377754,4.527978932,-387,2.71E-04,375,0.333333333,0.026717361,3.164846077,90810
MDC1,2176.460424,4.51133497,-373,2.72E-04,394,0.5,0.026597329,3.171797418,96146
RBBP8,3630.638304,4.196982395,-242,2.82E-04,548,0.333333333,0.03899781,3.236842105,174514
MDM2,4138.200768,4.561374556,-282,2.78E-04,521,0.333333333,0.030210067,3.216981132,162288
RAD50,451.8748984,3.838286266,-541,2.60E-04,205,0.333333333,0.015282691,3.088381331,24188
HSPA9,1947.648984,5.18891484,-406,2.69E-04,339,0.333333333,0.022301676,3.155412115,84906
NFKBIA,1708.924939,4.534565931,-459,2.65E-04,320,0.333333333,0.015334666,3.129096326,56992
CEBPB,1683.056969,4.854182131,-466,2.65E-04,307,0.333333333,0.01540222,3.125620655,56364
PCNA,5715.746339,2.883825629,-102,2.93E-04,850,0.333333333,0.050546044,3.306355511,284464
PPM1D*KDG*,4042.508627,6.460697045,-330,2.75E-04,404,0.333333333,0.026236196,3.193147964,136468
TOPBP1,4069.340824,3.487553543,-197,2.85E-04,645,0.333333333,0.042860978,3.2591857,203200
UNG,3406.595383,4.696370855,-259,2.80E-04,500,0.333333333,0.037456376,3.228401192,160480
RAD51B,2472.479828,5.116373448,-353,2.73E-04,395,0.5,0.027346655,3.181727905,109408
FAS,3811.394021,4.447015165,-313,2.76E-04,499,0.333333333,0.026063697,3.201588878,142568
CHEK1,7052.127694,2.614932233,-17,3.01E-04,1001,0.5,0.057162836,3.348560079,375936
MRE11A,1765.76914,2.76732809,-342,2.74E-04,490,0.333333333,0.033327608,3.187189672,100140
CENPC,2604.059156,4.392532684,-321,2.75E-04,442,0.333333333,0.030113974,3.197616683,124768
POU2F1,2491.074576,5.711515037,-404,2.69E-04,352,0.333333333,0.02034709,3.156405164,88122
FANCG,2277.782994,3.604954437,-329,2.75E-04,459,0.333333333,0.03234031,3.193644489,105782
CDK2,5170.725471,3.171602398,-145,2.90E-04,772,0.333333333,0.046232785,3.285004965,249726
DMC1,503.9551892,4.378504568,-543,2.60E-04,194,0.333333333,0.015469695,3.087388282,23636
UBE2L3,562.1256159,5.028150085,-538,2.60E-04,194,0.333333333,0.014038843,3.089870904,26720
ATR,3140.526835,4.411459027,-307,2.77E-04,485,0.333333333,0.031030059,3.204568024,148146
SHFM1,1497.463413,5.243498078,-449,2.66E-04,294,0.333333333,0.019679262,3.134061569,60656
AP1B1,3281.632787,6.544134611,-372,2.72E-04,368,0.333333333,0.022269979,3.172293942,108588
VCP,2727.536271,5.046096329,-347,2.74E-04,410,0.333333333,0.026686314,3.184707051,115920
XBP1,643.8714831,5.327353229,-552,2.59E-04,184,0.333333333,0.010864375,3.082423039,24128
FOXM1,3039.045254,3.597290344,-252,2.81E-04,541,0.5,0.038421436,3.231876862,155054
TMF1,1835.676356,5.648182848,-429,2.68E-04,307,0.333333333,0.020072751,3.143992056,90698
DSCAM,1013.594033,6.277846098,-516,2.61E-04,212,0.333333333,0.013848723,3.100794439,36802
XRCC2,2188.24407,6.585419232,-455,2.66E-04,294,0.333333333,0.017978952,3.131082423,66346
RAD9A,966.7762308,5.862681524,-527,2.61E-04,216,0.333333333,0.013007277,3.095332671,33232
BLM,3309.927317,3.530774228,-264,2.80E-04,568,0.333333333,0.037520735,3.22591857,154786
RECQL4,974.3796734,4.397760425,-463,2.65E-04,264,0.333333333,0.02156705,3.127110228,41528
RNF14,498.8832169,5.321805784,-570,2.58E-04,164,0.333333333,0.009959514,3.073982125,19988
HSPA1L,298.3059509,6.600417361,-626,2.54E-04,109,0.333333333,0.0065068,3.045183714,12574
LIG4,1692.567899,4.82749034,-421,2.68E-04,330,0.333333333,0.020776261,3.14796425,72804
CDC25C,872.6989143,3.103888629,-451,2.66E-04,321,0.5,0.023744349,3.13306852,46894
ESPL1,1281.69186,4.352622005,-418,2.68E-04,310,0.333333333,0.025554754,3.149453823,64418
TOP2A,3212.172698,3.198834442,-227,2.83E-04,608,0.333333333,0.041965401,3.24428997,171658
PSMC3IP,535.9078362,2.891690516,-482,2.64E-04,266,0.333333333,0.022073516,3.117676266,33486
FANCL,1495.043848,4.719533542,-429,2.68E-04,319,0.333333333,0.023790684,3.143992056,67234
DNAJA1,2578.47478,5.046887576,-352,2.73E-04,398,0.333333333,0.026008199,3.182224429,111736
CDC37,2091.038606,6.089802186,-436,2.67E-04,303,0.333333333,0.017741053,3.140516385,72104
BCAP31,1186.178097,7.525079769,-536,2.60E-04,196,0.333333333,0.010731825,3.090863952,37206
TGFB1I1,426.2773572,6.10206094,-615,2.55E-04,124,0.333333333,0.005880197,3.050148957,12318
PDGFRB,1891.944157,4.975651844,-469,2.65E-04,306,0.333333333,0.014298847,3.124131082,61958
PKLR,192.1767223,6.990149465,-649,2.53E-04,82,0.333333333,0.004860442,3.034756703,5784
SLC9A3R2,513.2474491,6.280797754,-594,2.56E-04,142,0.333333333,0.007363181,3.061569017,15196
FANCA,1793.669396,4.419808703,-395,2.70E-04,368,0.333333333,0.026848542,3.160873883,75554
