gene name,Betweenness unDir,Stress unDir
BRCA1*KDG*,9129.97,432238
BRCA2*KDG*,4177.54,182306
PIK3CA*KDG*,10274.36532,334842
NCOA3*KDG*,7177.798504,250194
TP53*KDG*,12092.82925,394316
RAD51*KDG*,6326.488491,251604
NBN,678.4018848,34494
RB1CC1*KDG*,5705.933954,226562
H2AFX,2712.333341,126052
CHEK2*KDG*,5128.116131,218954
KDM1A,6153.41236,246620
PIK3R3,2231.431973,78392
EWSR1,1903.377754,90810
MDC1,2176.460424,96146
RBBP8,3630.638304,174514
MDM2,4138.200768,162288
RAD50,451.8748984,24188
HSPA9,1947.648984,84906
NFKBIA,1708.924939,56992
CEBPB,1683.056969,56364
PCNA,5715.746339,284464
PPM1D*KDG*,4042.508627,136468
TOPBP1,4069.340824,203200
UNG,3406.595383,160480
RAD51B,2472.479828,109408
FAS,3811.394021,142568
CHEK1,7052.127694,375936
MRE11A,1765.76914,100140
CENPC,2604.059156,124768
POU2F1,2491.074576,88122
FANCG,2277.782994,105782
CDK2,5170.725471,249726
DMC1,503.9551892,23636
UBE2L3,562.1256159,26720
ATR,3140.526835,148146
SHFM1,1497.463413,60656
AP1B1,3281.632787,108588
VCP,2727.536271,115920
XBP1,643.8714831,24128
FOXM1,3039.045254,155054
TMF1,1835.676356,90698
DSCAM,1013.594033,36802
XRCC2,2188.24407,66346
RAD9A,966.7762308,33232
BLM,3309.927317,154786
RECQL4,974.3796734,41528
RNF14,498.8832169,19988
HSPA1L,298.3059509,12574
LIG4,1692.567899,72804
CDC25C,872.6989143,46894
ESPL1,1281.69186,64418
TOP2A,3212.172698,171658
PSMC3IP,535.9078362,33486
FANCL,1495.043848,67234
DNAJA1,2578.47478,111736
CDC37,2091.038606,72104
BCAP31,1186.178097,37206
TGFB1I1,426.2773572,12318
PDGFRB,1891.944157,61958
PKLR,192.1767223,5784
SLC9A3R2,513.2474491,15196
FANCA,1793.669396,75554
TNFAIP3,2455.66215,90326
RAD51AP1,1283.691712,82382
PTEN*KDG*,4494.896351,170430
MAGI2,7641.741995,291850
SMARCD3,593.5535181,17890
FANCC,3606.418443,137956
SOD1,1911.928389,75060
EZH2,5192.221393,252728
FANCI,1931.89,96270
PRKDC,1873.407203,102908
CSF2RB,1287.940783,41126
USP7,1440.692057,57750
IKBKAP,1269.863588,59434
ADIPOR2,799.6217185,29572
SVIL,2201.136262,95094
BAG1,961.74979,33506
ROCK1,1517.329122,72706
PA2G4,1327.222384,64164
UBE2I,2385.206352,107234
FKBP4,886.7948174,37600
PLAGL1,825.3762589,31724
XRCC5,3717.862918,188482
WRN,1517.934323,85462
CREBBP,3762.071326,140322
NCOA4,1544.345008,59424
RAD51C,1990.119191,95330
PRDX1,517.4464869,20332
ATF1,2831.410154,128994
NOL3,825.1506519,25120
CDC25A,1797.836017,96534
MKI67,4942.069515,224040
KLK2,222.7910047,6428
PRKAA2,1581.504471,58604
SRY,67.11073424,2006
RPA1,2645.118893,131250
ZNF318,1327.628354,57224
KDM3A,1319.540157,55068
MAST2,669.5230829,25862
FOXA1,1006.506446,33330
CTDSP2,400.4876275,15860
TNFRSF10B,774.3775797,26416
HMMR,1433.450219,92074
KAT7,2575.746873,99058
TERF2,3637.052483,154534
BACH1,1616.463976,64720
RRM1,4671.246847,233380
ZMIZ1,1994.104482,80438
SMYD2,1009.872183,39738
DLG1,3390.886843,135410
APBB1,490.754243,14068
