Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
1961.565571,26.81447446,-2743,1.53E-04,51,0.25,0.01866644,PINK1*KDG*,query,4.836761778,0.634513133,34598
31791.38749,24.14435085,-2356,1.63E-04,192,0.25,0.051378094,PARK2*KDG*,query,4.965162575,0.640067891,452348
311.1595015,74.75995147,-2850,1.51E-04,15,0.25,0.008676484,GBA*KDG*,query,4.801260783,0.631610208,10068
14967.8596,18.60821753,-2552,1.58E-04,144,0.25,0.037643903,LRRK2*KDG*,query,4.900132714,0.562553824,242742
5156.923951,37.57351706,-2538,1.58E-04,76,0.25,0.026327025,MAPT*KDG*,query,4.904777704,0.544664939,112584
24655.76945,83.50845595,-2689,1.55E-04,57,0.25,0.009938975,APOE*KDG*,query,4.854678169,0.526173719,222524
115492.9558,17.72607733,-2240,1.66E-04,298,0.25,0.054774963,SNCA*KDG*,query,5.003649635,0.442532664,1421254
13858.22578,52.52432587,-2751,1.53E-04,62,0.25,0.017357903,PARK7,result,4.834107498,0.147305125,146690
35157.871,16.32716037,-2373,1.63E-04,203,0.25,0.052726229,STUB1,result,4.95952223,0.139059186,507126
14861.24732,17.12422776,-2489,1.60E-04,188,0.25,0.060999803,TCP1,result,4.921035169,0.117525228,331906
9836.988898,68.66753334,-2766,1.53E-04,48,0.25,0.017036168,FKBP4,result,4.829130723,0.089852365,98792
6031.835424,144.2399804,-2787,1.52E-04,31,0.25,0.010888982,NTRK2,result,4.822163238,0.063279008,90432
860.9497764,83.4421667,-2839,1.18E-04,12,0.2,0.001773873,BDNF*KDG*,query,4.199071002,0.528851256,9148
9.522837274,8.796068438,-2986,1.08E-04,5,0.2,4.57E-04,NTF3,result,3.917053749,0.072417838,212
9195.22806,80.25860437,-2742,1.53E-04,48,0.25,0.013775646,NTRK1,result,4.837093563,0.060518478,163490
50882.3539,36.65064608,-2512,1.59E-04,145,0.25,0.038295335,FLNA,result,4.913404114,0.05995165,778222
1775.189665,63.87679984,-2901,1.16E-04,18,0.2,0.001993483,DRD2*KDG*,query,4.131055076,0.623714764,18302
351.7769552,57.11491622,-2982,1.10E-04,9,0.2,9.08E-04,CYP2C9,result,3.98805574,0.057986447,4604
14.73352662,22.06613183,-2999,1.03E-04,3,0.2,1.37E-04,CYP2D6*KDG*,query,3.792634373,0.878909135,60
2457.273214,113.5325911,-2811,1.52E-04,20,0.25,0.009165462,CCNG1,result,4.814200398,0.049896029,41150
285.4234854,143.90656,-2804,1.52E-04,12,0.25,0.008079586,GAK*KDG*,query,4.816522893,0.843198621,8082
48439.8141,22.09323024,-2447,1.61E-04,208,0.25,0.044887184,CBL,result,4.934970139,0.047499713,750156
41149.62371,90.95212268,-2613,1.56E-04,69,0.25,0.016508248,CLU,result,4.879893829,0.035369809,397876
75.84302416,685.8708777,-2942,1.10E-04,3,0.2,5.68E-04,PON1*KDG*,query,3.988387525,0.901817069,886
3248.537567,130.776716,-2932,1.49E-04,16,0.25,0.004177807,VLDLR,result,4.774054413,0.075588067,38316
456.9608674,44.35432964,-2941,1.13E-04,12,0.2,0.00153288,ADORA2A,result,4.069674851,0.033036107,5254
11067.42403,174.6510206,-2971,1.48E-04,20,0.25,0.004746818,PARL,result,4.761114798,0.031485322,80500
1808.392248,83.52840586,-2932,1.49E-04,18,0.25,0.006930091,RHOT1,result,4.774054413,0.024143319,28958
5.659233476,8.208998009,-3001,1.04E-04,3,0.2,1.02E-04,CLIC6,result,3.820504313,0.023885499,76
70.33614013,19.33410434,-2988,1.09E-04,7,0.2,6.21E-04,KCNJ6,result,3.95288653,0.023731482,894
22.08616548,53.05756995,-2964,1.07E-04,3,0.2,1.49E-04,PLTP,result,3.885534174,0.023682929,374
55180.75033,23.92574744,-2352,1.63E-04,208,0.25,0.054832507,AKT1,result,4.966489715,0.021992125,784418
13558.28755,45.20807167,-2764,1.53E-04,65,0.25,0.02085313,AGO2,result,4.829794293,0.021829033,151484
30.445663,9.410432795,-2932,1.49E-04,13,0.25,0.008713311,GPR37,result,4.774054413,0.021243121,590
15.63323148,7.544902797,-2998,1.07E-04,5,0.2,4.70E-04,KCNJ5,result,3.906768414,0.020653445,236
12.88397831,17.45919148,-2993,1.07E-04,4,0.2,3.64E-04,NTF4,result,3.910086264,0.020245044,128
795.8177784,80.98988536,-2784,1.27E-04,17,0.25,0.005931217,NTRK3,result,4.392833444,0.01908245,15246
27566.44717,289.7589673,-2966,1.48E-04,17,0.25,0.004953581,CYB5A,result,4.762773723,0.018676272,132320
863.2891878,110.0405515,-2903,1.50E-04,15,0.25,0.006068115,SLC6A3,result,4.783676178,0.018274735,19124
16659.31371,274.2488344,-2931,1.49E-04,19,0.25,0.007540015,POR,result,4.774386198,0.017334136,113724
24855.82021,120.5290462,-2724,1.54E-04,47,0.25,0.012330723,NGFR,result,4.843065693,0.016541437,197550
10491.24854,25.99918075,-2761,1.53E-04,79,0.25,0.024086826,SUMO4,result,4.830789648,0.015773728,105830
440132.0127,16.14180469,-1902,1.76E-04,538,0.25,0.084027261,APP,result,5.115792966,0.015751828,4996536
396.3490836,53.51356755,-2938,1.14E-04,10,0.2,0.001556933,KCNJ3,result,4.092899801,0.015614573,6558
36415.46095,33.37584251,-2554,1.58E-04,125,0.25,0.039175545,CDK5,result,4.899469144,0.014723586,478068
1611.633816,45.3880171,-2847,1.51E-04,31,0.25,0.011722415,LAMP2,result,4.802256138,0.014651133,25650
1879.587689,90.76903569,-2943,1.49E-04,17,0.25,0.005934815,INPP5K,result,4.770404778,0.014034091,20990
334.8841444,83.87932028,-2919,1.49E-04,15,0.25,0.007194317,NEFM,result,4.778367618,0.014031467,10508
99.00452797,50.27161563,-2958,1.16E-04,7,0.2,0.00213525,RELN,result,4.130391506,0.013628213,2060
1184.349344,42.70102557,-2883,1.50E-04,25,0.25,0.00829914,LRPAP1,result,4.790311878,0.013576071,25474
8787.248566,200.6656006,-2925,1.49E-04,25,0.25,0.007537699,SORT1,result,4.776376908,0.038432068,68566
4359.204057,152.3753588,-2963,1.48E-04,15,0.25,0.004662891,NCS1,result,4.763769078,0.013096361,43718
10088.69418,627.1512109,-2952,1.10E-04,9,0.2,6.72E-04,NGF,result,3.987060385,0.012879082,141170
3.79300915,3.50503575,-2998,1.48E-04,4,0.25,0.004163726,MPC2,result,4.752156603,0.012566252,34
51.1548109,16.51738073,-2956,1.49E-04,10,0.25,0.005379582,CASR,result,4.766091573,0.012516358,698
1566.777047,67.32063307,-2875,1.50E-04,24,0.25,0.008405225,SNCAIP,result,4.792966158,0.011831764,23572
2312.689243,68.76645247,-2786,1.52E-04,31,0.25,0.010170461,EPB41L1,result,4.822495023,0.011542081,41314
6.98921654,17.55142913,-2973,1.48E-04,5,0.25,0.004609443,L3MBTL3,result,4.760451228,0.011257808,120
8447.562296,106.8439442,-2904,1.50E-04,27,0.25,0.006942639,PPP1R9B,result,4.783344393,0.010743905,91870
265.6197329,53.34531177,-2844,1.19E-04,8,0.2,0.001656287,KLK6,result,4.222295952,0.01061219,3502
2694.392316,69.02946895,-2907,1.50E-04,21,0.25,0.006126595,ITGB7,result,4.782349038,0.010280341,36202
4461.435008,93.95768386,-2935,1.49E-04,18,0.25,0.005422503,TOR1A,result,4.773059058,0.009800768,39348
42096.74712,40.86161314,-2479,1.60E-04,123,0.25,0.028411865,CAV1,result,4.924353019,0.009795939,476596
3053.214496,25.31197189,-2768,1.53E-04,59,0.25,0.018415579,AXIN1,result,4.828467153,0.011087836,52488
0,0,-2971,1.48E-04,2,0.25,0.003964487,BDH2,result,4.761114798,0.009581172,0
6.422442872,3.28853835,-2999,1.07E-04,5,0.2,4.34E-04,KCNJ9,result,3.905109489,0.009477575,188
