GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
RB1CC1 (9821)		RB1-inducible coiled-coil 1 [Source:HGNC Symbol;Acc:15574]
STK11 (6794)		serine/threonine kinase 11 [Source:HGNC Symbol;Acc:11389]
NCOA3 (8202)		nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:7670]
PPM1D (8493)		protein phosphatase, Mg2+/Mn2+ dependent, 1D [Source:HGNC Symbol;Acc:9277]
BARD1 (580)		BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:952]
PTEN (5728)		phosphatase and tensin homolog [Source:HGNC Symbol;Acc:9588]
CASP8 (841)		caspase 8, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1509]
PIK3CA (5290)		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
AR (367)		androgen receptor [Source:HGNC Symbol;Acc:644]
CHEK2 (11200)		checkpoint kinase 2 [Source:HGNC Symbol;Acc:16627]
BRCA2 (675)		breast cancer 2, early onset [Source:HGNC Symbol;Acc:1101]
RAD51 (5888)		RAD51 recombinase [Source:HGNC Symbol;Acc:9817]
BRCA1 (672)		breast cancer 1, early onset [Source:HGNC Symbol;Acc:1100]
ATM (472)		ataxia telangiectasia mutated [Source:HGNC Symbol;Acc:795]
TP53 (7157)		tumor protein p53 [Source:HGNC Symbol;Acc:11998]
NBN	6.03	nibrin [Source:HGNC Symbol;Acc:7652]
MRE11A	5.68	MRE11 meiotic recombination 11 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:7230]
RAD50	5.56	RAD50 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9816]
CHEK1	4.22	checkpoint kinase 1 [Source:HGNC Symbol;Acc:1925]
ATR	3.81	ataxia telangiectasia and Rad3 related [Source:HGNC Symbol;Acc:882]
FANCD2	3.59	Fanconi anemia, complementation group D2 [Source:HGNC Symbol;Acc:3585]
MDM2	3.50	MDM2 oncogene, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:6973]
FANCG	3.46	Fanconi anemia, complementation group G [Source:HGNC Symbol;Acc:3588]
FANCF	3.44	Fanconi anemia, complementation group F [Source:HGNC Symbol;Acc:3587]
FANCE	3.43	Fanconi anemia, complementation group E [Source:HGNC Symbol;Acc:3586]
FANCC	3.38	Fanconi anemia, complementation group C [Source:HGNC Symbol;Acc:3584]
RAD9A	2.82	RAD9 homolog A (S. pombe) [Source:HGNC Symbol;Acc:9827]
TREX1	2.65	three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:12269]
RAD1	2.64	RAD1 homolog (S. pombe) [Source:HGNC Symbol;Acc:9806]
HUS1	2.61	HUS1 checkpoint homolog (S. pombe) [Source:HGNC Symbol;Acc:5309]
RAD17	2.58	RAD17 homolog (S. pombe) [Source:HGNC Symbol;Acc:9807]
RBBP8	2.55	retinoblastoma binding protein 8 [Source:HGNC Symbol;Acc:9891]
RAD52	2.53	RAD52 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:9824]
PIK3R3	2.48	phosphoinositide-3-kinase, regulatory subunit 3 (gamma) [Source:HGNC Symbol;Acc:8981]
H2AFX	2.42	H2A histone family, member X [Source:HGNC Symbol;Acc:4739]
NFKBIA	2.36	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Source:HGNC Symbol;Acc:7797]
BRIP1	2.32	BRCA1 interacting protein C-terminal helicase 1 [Source:HGNC Symbol;Acc:20473]
MDC1	2.32	mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:21163]
GADD45A	2.18	growth arrest and DNA-damage-inducible, alpha [Source:HGNC Symbol;Acc:4095]
CDKN1A	2.05	cyclin-dependent kinase inhibitor 1A (p21, Cip1) [Source:HGNC Symbol;Acc:1784]
TP53BP1	2.01	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:11999]
RPA1	1.95	replication protein A1, 70kDa [Source:HGNC Symbol;Acc:10289]
RPA2	1.93	replication protein A2, 32kDa [Source:HGNC Symbol;Acc:10290]
TP73	1.92	tumor protein p73 [Source:HGNC Symbol;Acc:12003]
RPA3	1.89	replication protein A3, 14kDa [Source:HGNC Symbol;Acc:10291]
LIG1	1.88	ligase I, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6598]
PRKDC	1.68	protein kinase, DNA-activated, catalytic polypeptide [Source:HGNC Symbol;Acc:9413]
ABL1	1.68	c-abl oncogene 1, non-receptor tyrosine kinase [Source:HGNC Symbol;Acc:76]
MND1	1.64	meiotic nuclear divisions 1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:24839]
EWSR1	1.62	EWS RNA-binding protein 1 [Source:HGNC Symbol;Acc:3508]
RELA	1.56	v-rel avian reticuloendotheliosis viral oncogene homolog A [Source:HGNC Symbol;Acc:9955]
MAPK8	1.54	mitogen-activated protein kinase 8 [Source:HGNC Symbol;Acc:6881]
CDK2	1.51	cyclin-dependent kinase 2 [Source:HGNC Symbol;Acc:1771]
NFKB1	1.49	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Source:HGNC Symbol;Acc:7794]
CEBPB	1.45	CCAAT/enhancer binding protein (C/EBP), beta [Source:HGNC Symbol;Acc:1834]
PIK3R1	1.43	phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:HGNC Symbol;Acc:8979]
JUN	1.36	jun proto-oncogene [Source:HGNC Symbol;Acc:6204]
TOPBP1	1.32	topoisomerase (DNA) II binding protein 1 [Source:HGNC Symbol;Acc:17008]
PCNA	1.29	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:8729]
XRCC5	1.25	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) [Source:HGNC Symbol;Acc:12833]
CCNE1	1.24	cyclin E1 [Source:HGNC Symbol;Acc:1589]
XRCC6	1.20	X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:HGNC Symbol;Acc:4055]
FANCA	1.18	Fanconi anemia, complementation group A [Source:HGNC Symbol;Acc:3582]
FAS	1.16	Fas cell surface death receptor [Source:HGNC Symbol;Acc:11920]
FANCL	1.16	Fanconi anemia, complementation group L [Source:HGNC Symbol;Acc:20748]
HSPA9	1.15	heat shock 70kDa protein 9 (mortalin) [Source:HGNC Symbol;Acc:5244]
RAD51B	1.14	RAD51 paralog B [Source:HGNC Symbol;Acc:9822]
CSTF1	1.12	cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa [Source:HGNC Symbol;Acc:2483]
UBE2D3	1.08	ubiquitin-conjugating enzyme E2D 3 [Source:HGNC Symbol;Acc:12476]
UBE2L3	1.06	ubiquitin-conjugating enzyme E2L 3 [Source:HGNC Symbol;Acc:12488]
RFWD2	0.93	ring finger and WD repeat domain 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17440]
KDM1A	0.93	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:29079]
CDKN2A	0.91	cyclin-dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:1787]
CDK1	0.91	cyclin-dependent kinase 1 [Source:HGNC Symbol;Acc:1722]
CCNB1	0.89	cyclin B1 [Source:HGNC Symbol;Acc:1579]
POU2F1	0.88	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:9212]
EP300	0.84	E1A binding protein p300 [Source:HGNC Symbol;Acc:3373]
PALB2	0.82	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:26144]
PDGFRB	0.81	platelet-derived growth factor receptor, beta polypeptide [Source:HGNC Symbol;Acc:8804]
ATAD2	0.81	ATPase family, AAA domain containing 2 [Source:HGNC Symbol;Acc:30123]
CAB39	0.77	calcium binding protein 39 [Source:HGNC Symbol;Acc:20292]
UBE2D4	0.77	ubiquitin-conjugating enzyme E2D 4 (putative) [Source:HGNC Symbol;Acc:21647]
CDC25C	0.77	cell division cycle 25C [Source:HGNC Symbol;Acc:1727]
CDC25A	0.76	cell division cycle 25A [Source:HGNC Symbol;Acc:1725]
SLC9A3R2	0.69	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3 regulator 2 [Source:HGNC Symbol;Acc:11076]
MDM4	0.68	Mdm4 p53 binding protein homolog (mouse) [Source:HGNC Symbol;Acc:6974]
CASP9	0.68	caspase 9, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1511]
RCHY1	0.65	ring finger and CHY zinc finger domain containing 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:17479]
WEE1	0.65	WEE1 homolog (S. pombe) [Source:HGNC Symbol;Acc:12761]
CCND1	0.64	cyclin D1 [Source:HGNC Symbol;Acc:1582]
STRADA	0.64	STE20-related kinase adaptor alpha [Source:HGNC Symbol;Acc:30172]
PLK1	0.64	polo-like kinase 1 [Source:HGNC Symbol;Acc:9077]
CDC25B	0.64	cell division cycle 25B [Source:HGNC Symbol;Acc:1726]
XRCC2	0.62	X-ray repair complementing defective repair in Chinese hamster cells 2 [Source:HGNC Symbol;Acc:12829]
RUNX2	0.61	runt-related transcription factor 2 [Source:HGNC Symbol;Acc:10472]
ECSCR	0.61	endothelial cell surface expressed chemotaxis and apoptosis regulator [Source:HGNC Symbol;Acc:35454]
CDC34	0.60	cell division cycle 34 [Source:HGNC Symbol;Acc:1734]
CCNG1	0.59	cyclin G1 [Source:HGNC Symbol;Acc:1592]
CDKN2D	0.59	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4) [Source:HGNC Symbol;Acc:1790]
SESN1	0.58	sestrin 1 [Source:HGNC Symbol;Acc:21595]
STEAP3	0.58	STEAP family member 3, metalloreductase [Source:HGNC Symbol;Acc:24592]
MYT1	0.58	myelin transcription factor 1 [Source:HGNC Symbol;Acc:7622]
PERP	0.58	PERP, TP53 apoptosis effector [Source:HGNC Symbol;Acc:17637]
TNFRSF10B	0.57	tumor necrosis factor receptor superfamily, member 10b [Source:HGNC Symbol;Acc:11905]
LIG4	0.57	ligase IV, DNA, ATP-dependent [Source:HGNC Symbol;Acc:6601]
BID	0.57	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:1050]
CDK4	0.57	cyclin-dependent kinase 4 [Source:HGNC Symbol;Acc:1773]
PTK2B	0.56	protein tyrosine kinase 2 beta [Source:HGNC Symbol;Acc:9612]
RPS6KA1	0.55	ribosomal protein S6 kinase, 90kDa, polypeptide 1 [Source:HGNC Symbol;Acc:10430]
YWHAQ	0.55	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta polypeptide [Source:HGNC Symbol;Acc:12854]
FOXA1	0.55	forkhead box A1 [Source:HGNC Symbol;Acc:5021]
CDK6	0.55	cyclin-dependent kinase 6 [Source:HGNC Symbol;Acc:1777]
ATG13	0.55	autophagy related 13 [Source:HGNC Symbol;Acc:29091]
PIK3CG	0.54	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma [Source:HGNC Symbol;Acc:8978]
UBE2I	0.54	ubiquitin-conjugating enzyme E2I [Source:HGNC Symbol;Acc:12485]
YWHAH	0.54	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide [Source:HGNC Symbol;Acc:12853]
CASP3	0.53	caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]
DDB2	0.53	damage-specific DNA binding protein 2, 48kDa [Source:HGNC Symbol;Acc:2718]
CCNG2	0.52	cyclin G2 [Source:HGNC Symbol;Acc:1593]
FOXO1	0.52	forkhead box O1 [Source:HGNC Symbol;Acc:3819]
TP53AIP1	0.52	tumor protein p53 regulated apoptosis inducing protein 1 [Source:HGNC Symbol;Acc:29984]
TP53I3	0.52	tumor protein p53 inducible protein 3 [Source:HGNC Symbol;Acc:19373]
EI24	0.51	etoposide induced 2.4 [Source:HGNC Symbol;Acc:13276]
SESN3	0.51	sestrin 3 [Source:HGNC Symbol;Acc:23060]
ZMAT3	0.51	zinc finger, matrin-type 3 [Source:HGNC Symbol;Acc:29983]
SESN2	0.51	sestrin 2 [Source:HGNC Symbol;Acc:20746]
BCL2L1	0.50	BCL2-like 1 [Source:HGNC Symbol;Acc:992]
RRM2B	0.50	ribonucleotide reductase M2 B (TP53 inducible) [Source:HGNC Symbol;Acc:17296]
SHISA5	0.50	shisa family member 5 [Source:HGNC Symbol;Acc:30376]
CENPC	0.49	centromere protein C [Source:HGNC Symbol;Acc:1854]
CCNE2	0.49	cyclin E2 [Source:HGNC Symbol;Acc:1590]
PML	0.49	promyelocytic leukemia [Source:HGNC Symbol;Acc:9113]
RPRM	0.48	reprimo, TP53 dependent G2 arrest mediator candidate [Source:HGNC Symbol;Acc:24201]
SMAD4	0.48	SMAD family member 4 [Source:HGNC Symbol;Acc:6770]
RNF8	0.48	ring finger protein 8, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:10071]
CCND3	0.48	cyclin D3 [Source:HGNC Symbol;Acc:1585]
TMF1	0.48	TATA element modulatory factor 1 [Source:HGNC Symbol;Acc:11870]
MTOR	0.47	mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol;Acc:3942]
BAI1	0.47	brain-specific angiogenesis inhibitor 1 [Source:HGNC Symbol;Acc:943]
BBC3	0.47	BCL2 binding component 3 [Source:HGNC Symbol;Acc:17868]
IGFBP3	0.47	insulin-like growth factor binding protein 3 [Source:HGNC Symbol;Acc:5472]
CREBBP	0.47	CREB binding protein [Source:HGNC Symbol;Acc:2348]
SPDEF	0.47	SAM pointed domain containing ETS transcription factor [Source:HGNC Symbol;Acc:17257]
IGF1	0.46	insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]
SERPINB5	0.46	serpin peptidase inhibitor, clade B (ovalbumin), member 5 [Source:HGNC Symbol;Acc:8949]
HSPA1L	0.46	heat shock 70kDa protein 1-like [Source:HGNC Symbol;Acc:5234]
BAX	0.46	BCL2-associated X protein [Source:HGNC Symbol;Acc:959]
APAF1	0.45	apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:576]
CCNB2	0.45	cyclin B2 [Source:HGNC Symbol;Acc:1580]
TGFB1	0.44	transforming growth factor, beta 1 [Source:HGNC Symbol;Acc:11766]
FANCI	0.44	Fanconi anemia, complementation group I [Source:HGNC Symbol;Acc:25568]
PMAIP1	0.44	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:9108]
TGFB3	0.44	transforming growth factor, beta 3 [Source:HGNC Symbol;Acc:11769]
TGFB2	0.44	transforming growth factor, beta 2 [Source:HGNC Symbol;Acc:11768]
RRM2	0.44	ribonucleotide reductase M2 [Source:HGNC Symbol;Acc:10452]
UNG	0.44	uracil-DNA glycosylase [Source:HGNC Symbol;Acc:12572]
AKT1	0.43	v-akt murine thymoma viral oncogene homolog 1 [Source:HGNC Symbol;Acc:391]
PPP2CA	0.43	protein phosphatase 2, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9299]
CYCS	0.43	cytochrome c, somatic [Source:HGNC Symbol;Acc:19986]
BCAP31	0.43	B-cell receptor-associated protein 31 [Source:HGNC Symbol;Acc:16695]
XRCC4	0.43	X-ray repair complementing defective repair in Chinese hamster cells 4 [Source:HGNC Symbol;Acc:12831]
GTSE1	0.43	G-2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:13698]
MYC	0.43	v-myc avian myelocytomatosis viral oncogene homolog [Source:HGNC Symbol;Acc:7553]
RNF14	0.42	ring finger protein 14 [Source:HGNC Symbol;Acc:10058]
GADD45G	0.42	growth arrest and DNA-damage-inducible, gamma [Source:HGNC Symbol;Acc:4097]
SHFM1	0.42	split hand/foot malformation (ectrodactyly) type 1 [Source:HGNC Symbol;Acc:10845]
KAT2B	0.42	K(lysine) acetyltransferase 2B [Source:HGNC Symbol;Acc:8638]
CDKN1B	0.42	cyclin-dependent kinase inhibitor 1B (p27, Kip1) [Source:HGNC Symbol;Acc:1785]
NCOA4	0.42	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:7671]
PIDD	0.42	p53-induced death domain protein [Source:HGNC Symbol;Acc:16491]
STRADB	0.42	STE20-related kinase adaptor beta [Source:HGNC Symbol;Acc:13205]
DAXX	0.42	death-domain associated protein [Source:HGNC Symbol;Acc:2681]
ETV4	0.41	ets variant 4 [Source:HGNC Symbol;Acc:3493]
TGFBR2	0.41	transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:11773]
SMARCD3	0.41	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:11108]
GADD45B	0.41	growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:4096]
TGFBR1	0.41	transforming growth factor, beta receptor 1 [Source:HGNC Symbol;Acc:11772]
POLQ	0.41	polymerase (DNA directed), theta [Source:HGNC Symbol;Acc:9186]
CD82	0.40	CD82 molecule [Source:HGNC Symbol;Acc:6210]
SIAH1	0.40	siah E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:10857]
APPL1	0.40	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 [Source:HGNC Symbol;Acc:24035]
BCL2	0.40	B-cell CLL/lymphoma 2 [Source:HGNC Symbol;Acc:990]
CCNB3	0.40	cyclin B3 [Source:HGNC Symbol;Acc:18709]
CD79A	0.40	CD79a molecule, immunoglobulin-associated alpha [Source:HGNC Symbol;Acc:1698]
TGFB1I1	0.39	transforming growth factor beta 1 induced transcript 1 [Source:HGNC Symbol;Acc:11767]
RPS6KB1	0.39	ribosomal protein S6 kinase, 70kDa, polypeptide 1 [Source:HGNC Symbol;Acc:10436]
CCND2	0.39	cyclin D2 [Source:HGNC Symbol;Acc:1583]
THBS1	0.39	thrombospondin 1 [Source:HGNC Symbol;Acc:11785]
TDP1	0.38	tyrosyl-DNA phosphodiesterase 1 [Source:HGNC Symbol;Acc:18884]
